dates,Unnamed: 0,time,Hs,Hz,Tz,Ts,water_level,depth
2022-10-07 03:16:02.719388,32,2022-10-07 03:16:02.719388,0.2315737542429114,0.1286606455963386,4.764993783872829,7.0798598401805375,2.853491960143451,2.853491960143451
2022-10-07 03:31:18.737977,33,2022-10-07 03:31:18.737977,0.2195131027465558,0.1308565642453762,5.106426489392033,7.148405918281606,2.937926208015629,2.937926208015629
2022-10-07 03:46:34.756566,34,2022-10-07 03:46:34.756566,0.2397403016833455,0.1499619898817651,5.3446000056740885,6.761978591776944,3.0347252421423,3.0347252421423
2022-10-07 04:01:50.775155,35,2022-10-07 04:01:50.775155,0.2390527678966383,0.1484603438476817,5.500699882433156,7.1754952077506,3.1414091291876773,3.1414091291876773
2022-10-07 04:17:06.793744,36,2022-10-07 04:17:06.793744,0.247046792923409,0.1529307504717817,5.281261044692597,6.665335466200322,3.257110324526773,3.257110324526773
2022-10-07 04:32:22.812333,37,2022-10-07 04:32:22.812333,0.2424569197258718,0.1478922070977643,5.346475113166002,6.8008043243172205,3.373301579093202,3.373301579093202
2022-10-07 04:47:38.830922,38,2022-10-07 04:47:38.830922,0.3051636065919341,0.1904485991356587,5.651997110623871,7.065080655239933,3.494677636835464,3.494677636835464
2022-10-07 05:02:54.849511,39,2022-10-07 05:02:54.849511,0.2867097416020273,0.1751923425530002,5.763647065162743,6.655166223532015,3.618164828750984,3.618164828750984
2022-10-07 05:18:10.868100,40,2022-10-07 05:18:10.868100,0.3068299856415549,0.1925153188588235,5.787541254565692,6.884769952850821,3.725364148672768,3.725364148672768
2022-10-07 05:33:26.886689,41,2022-10-07 05:33:26.886689,0.2968428829806856,0.1770235542828531,5.452927170645851,6.702760166238228,3.839254802119932,3.839254802119932
2022-10-07 05:48:42.905278,42,2022-10-07 05:48:42.905278,0.2844572882219451,0.1784664209459894,5.7236553960958965,6.594445277832226,3.944838959086192,3.944838959086192
2022-10-07 06:03:58.923867,43,2022-10-07 06:03:58.923867,0.2603279428391131,0.1634399052706437,5.955697702088847,7.465693754374809,4.036661689325143,4.036661689325143
